зверьми	NOUN,anim,masc plur,ablt,Arch
глазами	NOUN,inan,masc plur,ablt
места	NOUN,inan,neut sing,gent
места	NOUN,inan,neut plur,nomn
места	NOUN,inan,neut plur,accs
поручится	VERB,perf,intr sing,3per,futr,indc
книга	NOUN,inan,femn sing,nomn
твои	ADJF,Apro plur,nomn
твои	ADJF,Apro inan,plur,accs
матросы	NOUN,anim,masc plur,nomn
монархов	NOUN,anim,masc plur,gent
монархов	NOUN,anim,masc plur,accs
разбудить	INFN,perf,tran
загоралась	VERB,impf,intr femn,sing,past,indc
окружить	INFN,perf,tran
лорду-регенту	NOUN,anim,masc sing,datv
лорду-регенту	NOUN,anim,masc sing,datv
жемчужных	ADJF,Qual plur,gent
жемчужных	ADJF,Qual anim,plur,accs
жемчужных	ADJF,Qual plur,loct
селенья	NOUN,inan,neut sing,gent,V-be
селенья	NOUN,inan,neut plur,nomn,V-be
селенья	NOUN,inan,neut plur,accs,V-be
селенья	NOUN,inan,neut sing,gent
селенья	NOUN,inan,neut plur,nomn
селенья	NOUN,inan,neut plur,accs
отказа	NOUN,inan,masc sing,gent
недолгим	ADJF masc,sing,ablt
недолгим	ADJF neut,sing,ablt
недолгим	ADJF plur,datv
отводя	GRND,impf,tran pres
алмазов	NOUN,inan,masc plur,gent
алмазов	NOUN,anim,masc,Sgtm,Surn sing,nomn
рахат-лукуме	NOUN,inan,masc sing,loct
заменили	VERB,perf,tran plur,past,indc
желтел	VERB,impf,intr masc,sing,past,indc
молочко	NOUN,inan,neut,Sgtm sing,nomn
молочко	NOUN,inan,neut,Sgtm sing,accs
щенков	NOUN,anim,masc plur,gent
щенков	NOUN,anim,masc plur,accs
обнюхать	INFN,perf,tran
заливу	NOUN,inan,masc sing,datv
заколыхались	VERB,perf,intr plur,past,indc
ближайший	ADJF,Supr masc,sing,nomn
ближайший	ADJF,Supr inan,masc,sing,accs
ближайший	ADJF,Supr,Qual masc,sing,nomn
ближайший	ADJF,Supr,Qual inan,masc,sing,accs
мяу	INTJ
доблестные	ADJF,Qual plur,nomn
доблестные	ADJF,Qual inan,plur,accs
июльским	ADJF masc,sing,ablt
июльским	ADJF neut,sing,ablt
июльским	ADJF plur,datv
вырезают	VERB,impf,tran plur,3per,pres,indc
вкусные	ADJF,Qual plur,nomn
вкусные	ADJF,Qual inan,plur,accs
звуков	NOUN,inan,masc plur,gent
очерчен	PRTS,perf,past,pssv masc,sing
сломаем	VERB,perf,tran plur,1per,futr,indc
сломаем	VERB,perf,tran sing,impr,incl
прожил	VERB,perf,tran masc,sing,past,indc
янтарные	ADJF,Qual plur,nomn
янтарные	ADJF,Qual inan,plur,accs
передумала	VERB,perf,tran femn,sing,past,indc
ломтику	NOUN,inan,masc sing,datv
горела	ADJS femn,sing
горела	VERB,impf,intr femn,sing,past,indc
случались	VERB,impf,intr plur,past,indc
найдёте	VERB,perf,tran plur,2per,futr,indc
убийстве	NOUN,inan,neut sing,loct
меланхоличные	ADJF,Qual plur,nomn
меланхоличные	ADJF,Qual inan,plur,accs
посаженный	PRTF,perf,tran,past,pssv masc,sing,nomn
посаженный	PRTF,perf,tran,past,pssv inan,masc,sing,accs
грубого	ADJF,Qual masc,sing,gent
грубого	ADJF,Qual anim,masc,sing,accs
грубого	ADJF,Qual neut,sing,gent
школьной	ADJF,Qual femn,sing,ablt
школьной	ADJF,Qual femn,sing,gent
школьной	ADJF,Qual femn,sing,datv
школьной	ADJF,Qual femn,sing,loct
живу	VERB,impf,intr sing,1per,pres,indc
ревели	VERB,impf,intr plur,past,indc
обсуждать	INFN,impf,tran
общего	ADJF neut,sing,gent
общего	ADJF masc,sing,gent
общего	ADJF anim,masc,sing,accs
водяная	ADJF femn,sing,nomn
восторг	NOUN,inan,masc sing,accs
восторг	NOUN,inan,masc sing,nomn
платьев	NOUN,inan,neut plur,gent
трамом	NOUN,inan,masc,Geox sing,ablt
трамом	NOUN,anim,masc,Name sing,ablt
успокоил	VERB,perf,tran masc,sing,past,indc
эта	ADJF,Apro,Subx,Anph femn,sing,nomn
большее	ADJF neut,sing,nomn
большее	ADJF neut,sing,accs
спешишь	VERB,impf,intr sing,2per,pres,indc
спешишь	VERB,perf,tran sing,2per,futr,indc
отбился	VERB,perf,intr masc,sing,past,indc
разверзлась	VERB,perf,intr femn,sing,past,indc
полумесяцев…	UNKN
прогалину	NOUN,inan,femn sing,accs
вброд	ADVB
новая	ADJF,Qual femn,sing,nomn
сугробах	NOUN,inan,masc plur,loct
воззрился	VERB,perf,intr masc,sing,past,indc
резвого	ADJF,Qual masc,sing,gent
резвого	ADJF,Qual anim,masc,sing,accs
резвого	ADJF,Qual neut,sing,gent
серьёзному	ADJF,Qual masc,sing,datv
серьёзному	ADJF,Qual neut,sing,datv
начинают	VERB,impf,tran plur,3per,pres,indc
впадают	VERB,impf,intr plur,3per,pres,indc
тёмная	ADJF,Qual femn,sing,nomn
посмотрите	VERB,perf,tran plur,2per,futr,indc
посмотрите	VERB,perf,tran plur,impr,excl
кобылы	NOUN,anim,femn sing,gent
кобылы	NOUN,anim,femn plur,nomn
кобылы	NOUN,inan,femn sing,gent
кобылы	NOUN,inan,femn plur,nomn
кобылы	NOUN,inan,femn plur,accs
лучи	NOUN,inan,masc plur,nomn
лучи	NOUN,inan,masc plur,accs
лучи	VERB,impf,tran sing,impr,excl
изображён	PRTS,perf,past,pssv masc,sing
мощёном	ADJF masc,sing,loct
мощёном	ADJF neut,sing,loct
уклонится	VERB,perf,intr sing,3per,futr,indc
оставит	VERB,perf,tran sing,3per,futr,indc
глянь	VERB,perf,intr sing,impr,excl
особом	ADJF masc,sing,loct
особом	ADJF neut,sing,loct
жарко	ADVB,Prdx
жарко	ADJS,Qual neut,sing
про	PREP
безумцы	NOUN,anim,masc plur,nomn
погода	NOUN,inan,femn sing,nomn
затрусил	VERB,perf,tran masc,sing,past,indc
затрусил	VERB,perf,intr masc,sing,past,indc
промокли	VERB,perf,intr plur,past,indc
ослепил	VERB,perf,tran masc,sing,past,indc
нафталина	NOUN,inan,masc sing,gent
ох	INTJ
третья	ADJF,Anum femn,sing,nomn
пирога	NOUN,inan,masc sing,gent
пирога	NOUN,inan,femn sing,nomn
рукоятью	NOUN,inan,femn sing,ablt
бельчата	NOUN,anim,masc plur,nomn
вылезет	VERB,perf,intr sing,3per,futr,indc
вылезет	VERB,perf,intr sing,3per,futr,indc
рассмеялся	VERB,perf,intr masc,sing,past,indc
толстеть	INFN,impf,intr
наведёт	VERB,perf,tran sing,3per,futr,indc
ссутулившуюся	PRTF,perf,intr,past,actv femn,sing,accs
держало	VERB,impf,tran neut,sing,past,indc
красивых	ADJF,Qual plur,gent
красивых	ADJF,Qual plur,loct
красивых	ADJF,Qual anim,plur,accs
бородавок	NOUN,inan,femn plur,gent
разумный	ADJF,Qual masc,sing,nomn
разумный	ADJF,Qual inan,masc,sing,accs
вздымался	VERB,impf,intr masc,sing,past,indc
непорядок	NOUN,inan,masc sing,nomn
непорядок	NOUN,inan,masc sing,accs
знают	VERB,impf,tran plur,3per,pres,indc
угрюм	ADJS,Qual masc,sing
сцепили	VERB,perf,tran plur,past,indc
покинул	VERB,perf,tran masc,sing,past,indc
великаны	NOUN,anim,masc plur,nomn
оленьей	ADJF,Poss femn,sing,gent
оленьей	ADJF,Poss femn,sing,datv
оленьей	ADJF,Poss femn,sing,ablt
оленьей	ADJF,Poss femn,sing,loct
пойду	VERB,perf,intr sing,1per,futr,indc
подойдёте	VERB,perf,intr plur,2per,futr,indc
9	NUMB,intg
посовещаться	INFN,perf,intr
соломы	NOUN,inan,femn sing,gent
соломы	NOUN,inan,femn plur,nomn
соломы	NOUN,inan,femn plur,accs
тронула	VERB,perf,tran femn,sing,past,indc
преисполнено	PRTS,perf,past,pssv neut,sing
скверное	ADJF,Qual neut,sing,nomn
скверное	ADJF,Qual neut,sing,accs
подыграть	INFN,perf,tran
поющих	PRTF,impf,tran,pres,actv plur,gent
поющих	PRTF,impf,tran,pres,actv anim,plur,accs
поющих	PRTF,impf,tran,pres,actv plur,loct
преклонили	VERB,perf,tran plur,past,indc
ринельф	NOUN,inan,masc sing,nomn
ринельф	NOUN,inan,masc sing,accs
ринельф	NOUN,anim,masc sing,nomn
ринельф	NOUN,anim,femn,Name plur,gent
ринельф	NOUN,anim,femn,Name plur,accs
ринельф	NOUN,inan,GNdr,Pltm,Geox plur,gent
звери	NOUN,anim,masc plur,nomn
приятней	COMP,Qual V-ej
уставшие	PRTF,perf,intr,past,actv plur,nomn
уставшие	PRTF,perf,intr,past,actv inan,plur,accs
удил	NOUN,inan,GNdr,Pltm plur,gent
удил	VERB,impf,tran masc,sing,past,indc
серебряные	ADJF,Qual inan,plur,accs
серебряные	ADJF,Qual plur,nomn
пей	VERB,impf,tran sing,impr,excl
кромке	NOUN,inan,femn sing,datv
кромке	NOUN,inan,femn sing,loct
отколдоваться	INFN,impf,intr
отколдоваться	VERB,perf,intr sing,impr,excl
настоящие	ADJF plur,nomn
настоящие	ADJF inan,plur,accs
настоящие	NOUN,inan,neut plur,nomn
настоящие	NOUN,inan,neut plur,accs
потное	ADJF,Qual neut,sing,nomn
потное	ADJF,Qual neut,sing,accs
пьёте	VERB,impf,tran plur,2per,pres,indc
спине	NOUN,inan,femn sing,datv
спине	NOUN,inan,masc sing,loct
спине	NOUN,inan,femn sing,loct
получает	VERB,impf,tran sing,3per,pres,indc
делана	PRTS,impf,past,pssv femn,sing
бумаги	NOUN,inan,femn sing,gent
бумаги	NOUN,inan,femn plur,nomn
бумаги	NOUN,inan,femn plur,accs
12	NUMB,intg
во	PREP Vpre
невысокий	ADJF masc,sing,nomn
невысокий	ADJF inan,masc,sing,accs
суля	GRND,impf,tran pres
копыта…	UNKN
третья	ADJF,Anum femn,sing,nomn
трясётся	VERB,impf,intr sing,3per,pres,indc
лошадиному	ADJF,Qual masc,sing,datv
лошадиному	ADJF,Qual neut,sing,datv
ключи	NOUN,inan,masc plur,accs
ключи	NOUN,inan,masc plur,nomn
набиты	ADJS,Qual plur
набиты	PRTS,perf,past,pssv plur
пришепётывали	VERB,impf,intr plur,past,indc
наши	ADJF,Apro plur,nomn
наши	ADJF,Apro inan,plur,accs
прошепчу	VERB,perf,tran sing,1per,futr,indc
населённых	PRTF,perf,tran,past,pssv plur,gent
населённых	PRTF,perf,tran,past,pssv anim,plur,accs
населённых	PRTF,perf,tran,past,pssv plur,loct
населённых	ADJF,Qual plur,gent
населённых	ADJF,Qual anim,plur,accs
населённых	ADJF,Qual plur,loct
слабовато	ADVB
слабовато	ADJS,Qual neut,sing
выросла	VERB,perf,intr femn,sing,past,indc
старые	NOUN,inan,neut plur,nomn
старые	NOUN,inan,neut plur,accs
старые	ADJF,Qual plur,nomn
старые	ADJF,Qual inan,plur,accs
держитесь	VERB,impf,intr plur,2per,pres,indc
держитесь	VERB,impf,intr plur,impr,excl
бегством…	UNKN
ничего	NPRO,neut sing,gent
ничего	ADVB
ничего	PRCL
замелькала	VERB,perf,intr femn,sing,past,indc
матросов…	UNKN
открытыми	ADJF,Qual plur,ablt
открытыми	PRTF,perf,tran,past,pssv plur,ablt
честью	NOUN,inan,femn,Sgtm sing,ablt
угрожающие	PRTF,impf,intr,pres,actv plur,nomn
угрожающие	PRTF,impf,intr,pres,actv inan,plur,accs
угрожающие	ADJF plur,nomn
угрожающие	ADJF inan,plur,accs
журчание	NOUN,inan,neut sing,nomn
журчание	NOUN,inan,neut sing,accs
сжимались	VERB,impf,intr plur,past,indc
тупым	ADJF,Qual masc,sing,ablt
тупым	ADJF,Qual neut,sing,ablt
тупым	ADJF,Qual plur,datv
изысканным	ADJF,Qual masc,sing,ablt
изысканным	ADJF,Qual neut,sing,ablt
изысканным	ADJF,Qual plur,datv
изысканным	PRTF,perf,tran,past,pssv masc,sing,ablt
изысканным	PRTF,perf,tran,past,pssv neut,sing,ablt
изысканным	PRTF,perf,tran,past,pssv plur,datv
рассчитывать	INFN,impf,intr
рассчитывать	INFN,impf,tran
ведомые	ADJF,Qual plur,nomn
ведомые	ADJF,Qual inan,plur,accs
ведомые	NOUN,anim,masc plur,nomn
древесный	ADJF,Qual masc,sing,nomn
древесный	ADJF,Qual inan,masc,sing,accs
колечки	NOUN,inan,neut plur,nomn
колечки	NOUN,inan,neut plur,accs
поразилась	VERB,perf,intr femn,sing,past,indc
пушистым	ADJF,Qual masc,sing,ablt
пушистым	ADJF,Qual neut,sing,ablt
пушистым	ADJF,Qual plur,datv
ока	NOUN,inan,neut sing,gent
ока	NOUN,inan,femn,Sgtm,Geox sing,nomn
усадить	INFN,perf,tran
пытаетесь	VERB,impf,intr plur,2per,pres,indc
устроим	VERB,perf,tran plur,1per,futr,indc
устроим	VERB,perf,tran sing,impr,incl
деревенская	ADJF femn,sing,nomn
внимание	NOUN,inan,neut sing,accs
внимание	NOUN,inan,neut sing,nomn
зацепившись	GRND,perf,intr past,V-sh
снесло	VERB,perf,tran neut,sing,past,indc
мудрецов	NOUN,anim,masc plur,gent
мудрецов	NOUN,anim,masc plur,accs
делает?	UNKN
принадлежат	VERB,impf,intr plur,3per,pres,indc
вертикально	ADVB
вертикально	ADJS,Qual neut,sing
даже	PRCL
даже	CONJ
дочь	NOUN,anim,femn sing,nomn
дочь	NOUN,anim,femn sing,accs
заполонили	VERB,perf,tran plur,past,indc
мертвящее	ADJF neut,sing,nomn
мертвящее	ADJF neut,sing,accs
мертвящее	COMP
мертвящее	PRTF,impf,tran,pres,actv neut,sing,nomn
мертвящее	PRTF,impf,tran,pres,actv neut,sing,accs
надвинулся	VERB,perf,intr masc,sing,past,indc
подвиг	NOUN,inan,masc sing,nomn
подвиг	NOUN,inan,masc sing,accs
подвиг	VERB,perf,tran masc,sing,past,indc
попробуем	VERB,perf,tran plur,1per,futr,indc
попробуем	VERB,perf,tran sing,impr,incl
почувствовать	INFN,perf,tran
противнику	NOUN,anim,masc sing,datv
задвижками	NOUN,inan,femn plur,ablt
шумело	VERB,impf,intr neut,sing,past,indc
иным	ADJF,Apro plur,datv
иным	ADJF,Apro masc,sing,ablt
иным	ADJF,Apro neut,sing,ablt
холуй	NOUN,anim,masc sing,nomn
крытый	ADJF,Qual masc,sing,nomn
крытый	ADJF,Qual inan,masc,sing,accs
крытый	PRTF,impf,tran,past,pssv masc,sing,nomn
крытый	PRTF,impf,tran,past,pssv inan,masc,sing,accs
преудивительное	ADJF,Qual neut,sing,nomn
преудивительное	ADJF,Qual neut,sing,accs
преудивительное	ADJF neut,sing,nomn
преудивительное	ADJF neut,sing,accs
преудивительное	NOUN,inan,neut sing,nomn
преудивительное	NOUN,inan,neut sing,accs
толка	NOUN,inan,masc sing,gent
печален	ADJS,Qual masc,sing
печален	PRTS,impf,past,pssv masc,sing
воздух	NOUN,inan,masc sing,accs
воздух	NOUN,inan,masc sing,nomn
отвергнуть	INFN,perf,tran
вдвое	ADVB
приятной	ADJF,Qual femn,sing,ablt
приятной	ADJF,Qual femn,sing,gent
приятной	ADJF,Qual femn,sing,datv
приятной	ADJF,Qual femn,sing,loct
колчан	NOUN,inan,masc sing,nomn
колчан	NOUN,inan,masc sing,accs
пламенели	VERB,impf,intr plur,past,indc
отнесли	VERB,perf,tran plur,past,indc
привыкли	VERB,perf,intr plur,past,indc
засмущалась	VERB,perf,intr femn,sing,past,indc
открылась	VERB,perf,intr femn,sing,past,indc
ежа	NOUN,anim,masc sing,gent
ежа	NOUN,anim,masc sing,accs
ежа	NOUN,inan,masc sing,gent
ёжа	GRND,impf,tran pres
удивило	VERB,perf,tran neut,sing,past,indc
воров	NOUN,anim,masc plur,gent
воров	NOUN,anim,masc plur,accs
поднимется	VERB,perf,intr sing,3per,futr,indc
чувств	NOUN,inan,neut plur,gent
здесь	ADVB,Prdx
скоро	ADVB
скоро	ADJS,Qual neut,sing
золотисто-жёлтый	ADJF,Qual masc,sing,nomn
золотисто-жёлтый	ADJF,Qual inan,masc,sing,accs
похитил	VERB,perf,tran masc,sing,past,indc
целым	NOUN,inan,neut sing,ablt
целым	NOUN,inan,neut plur,datv
целым	ADJF,Qual masc,sing,ablt
целым	ADJF,Qual neut,sing,ablt
целым	ADJF,Qual plur,datv
пробудившись	GRND,perf,intr past,V-sh
обнаруживаем	VERB,impf,tran plur,1per,pres,indc
обнаруживаем	PRTS,impf,pres,pssv masc,sing
хозяйке	NOUN,anim,femn sing,datv
хозяйке	NOUN,anim,femn sing,loct
временами	ADVB
временами	NOUN,inan,neut plur,ablt
возмутился	VERB,perf,intr masc,sing,past,indc
хрустальные	ADJF,Qual plur,nomn
хрустальные	ADJF,Qual inan,plur,accs
вышедшая	PRTF,perf,intr,past,actv femn,sing,nomn
тревожные	ADJF,Qual plur,nomn
тревожные	ADJF,Qual inan,plur,accs
водила	VERB,impf,tran femn,sing,past,indc
камни	NOUN,inan,masc plur,nomn
камни	NOUN,inan,masc plur,accs
рыщут	VERB,impf,intr plur,3per,pres,indc
сдавалась	VERB,impf,intr femn,sing,past,indc
шкафы	NOUN,inan,masc plur,nomn
шкафы	NOUN,inan,masc plur,accs
подольститься	INFN,perf,intr
слонялись	VERB,impf,intr plur,past,indc
старина	NOUN,inan,femn sing,nomn
старина	NOUN,anim,masc sing,nomn
копьём	NOUN,inan,neut sing,ablt
стычки	NOUN,inan,femn sing,gent
стычки	NOUN,inan,femn plur,nomn
стычки	NOUN,inan,femn plur,accs
преданного	PRTF,perf,tran,past,pssv masc,sing,gent
преданного	PRTF,perf,tran,past,pssv anim,masc,sing,accs
преданного	PRTF,perf,tran,past,pssv neut,sing,gent
преданного	ADJF,Qual masc,sing,gent
преданного	ADJF,Qual anim,masc,sing,accs
преданного	ADJF,Qual neut,sing,gent
вспомните	VERB,perf,tran plur,2per,futr,indc
вспомните	VERB,perf,tran plur,impr,excl
сливавшуюся	PRTF,impf,intr,past,actv femn,sing,accs
закончив	GRND,perf,tran past
кого-то	NPRO,masc sing,accs
кого-то	NPRO,masc sing,gent
бетти	NOUN,inan,neut,Fixd sing,nomn
бетти	NOUN,inan,neut,Fixd sing,gent
бетти	NOUN,inan,neut,Fixd sing,datv
бетти	NOUN,inan,neut,Fixd sing,accs
бетти	NOUN,inan,neut,Fixd sing,ablt
бетти	NOUN,inan,neut,Fixd sing,loct
бетти	NOUN,inan,neut,Fixd plur,nomn
бетти	NOUN,inan,neut,Fixd plur,gent
бетти	NOUN,inan,neut,Fixd plur,datv
бетти	NOUN,inan,neut,Fixd plur,accs
бетти	NOUN,inan,neut,Fixd plur,ablt
бетти	NOUN,inan,neut,Fixd plur,loct
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,nomn
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,gent
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,datv
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,accs
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,ablt
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn sing,loct
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,nomn
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,gent
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,datv
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,accs
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,ablt
бетти	NOUN,anim,GNdr,Ms-f,Fixd,Surn plur,loct
бетти	NOUN,inan,neut,Sgtm,Fixd sing,nomn
бетти	NOUN,inan,neut,Sgtm,Fixd sing,gent
бетти	NOUN,inan,neut,Sgtm,Fixd sing,datv
бетти	NOUN,inan,neut,Sgtm,Fixd sing,accs
бетти	NOUN,inan,neut,Sgtm,Fixd sing,ablt
бетти	NOUN,inan,neut,Sgtm,Fixd sing,loct
большое	ADJF,Qual neut,sing,nomn
большое	ADJF,Qual neut,sing,accs
соли	NOUN,inan,femn sing,gent
соли	NOUN,inan,femn sing,datv
соли	NOUN,inan,femn sing,loct
соли	NOUN,inan,femn plur,nomn
соли	NOUN,inan,femn plur,accs
соли	VERB,impf,tran sing,impr,excl
теми	ADJF,Apro,Subx,Anph plur,ablt
теми	NOUN,inan,femn,Sgtm sing,gent
теми	NOUN,inan,femn,Sgtm sing,datv
теми	NOUN,inan,femn,Sgtm sing,loct
ящеры	NOUN,anim,masc plur,nomn
бодро	ADVB
бодро	ADJS,Qual neut,sing
миразовых	ADJF,Qual plur,gent
миразовых	ADJF,Qual anim,plur,accs
миразовых	ADJF,Qual plur,loct
миразовых	NOUN,anim,GNdr,Ms-f,Pltm,Surn plur,gent
миразовых	NOUN,anim,GNdr,Ms-f,Pltm,Surn plur,accs
миразовых	NOUN,anim,GNdr,Ms-f,Pltm,Surn plur,loct
миразовых	ADJF plur,gent
миразовых	ADJF anim,plur,accs
миразовых	ADJF plur,loct
опирался	VERB,impf,intr masc,sing,past,indc
проворонили	VERB,perf,tran plur,past,indc
прибрежные	ADJF,Qual plur,nomn
прибрежные	ADJF,Qual inan,plur,accs
дурных	ADJF,Qual plur,gent
дурных	ADJF,Qual anim,plur,accs
дурных	ADJF,Qual plur,loct
курица	NOUN,anim,femn sing,nomn
эта	ADJF,Apro,Subx,Anph femn,sing,nomn
бисма	NOUN,inan,masc sing,gent
волком	NOUN,anim,masc sing,ablt
волком	NOUN,inan,masc sing,ablt
лучистыми	ADJF,Qual plur,ablt
доверял	VERB,impf,tran masc,sing,past,indc
огонёк	NOUN,inan,masc sing,accs
огонёк	NOUN,inan,masc sing,nomn
желают	VERB,impf,tran plur,3per,pres,indc
слезы	NOUN,inan,femn sing,gent
слёзы	NOUN,inan,femn plur,nomn
слёзы	NOUN,inan,femn plur,accs
успеешь	VERB,perf,intr sing,2per,futr,indc
тогда	ADVB,Dmns
пейзажа	NOUN,inan,masc sing,gent
рыба	NOUN,anim,femn sing,nomn
выцветшим	ADJF masc,sing,ablt
выцветшим	ADJF neut,sing,ablt
выцветшим	ADJF plur,datv
выцветшим	PRTF,perf,intr,past,actv masc,sing,ablt
выцветшим	PRTF,perf,intr,past,actv neut,sing,ablt
выцветшим	PRTF,perf,intr,past,actv plur,datv
усерднее	COMP,Qual
прав	NOUN,inan,neut plur,gent
прав	ADJS,Qual masc,sing
дев-лиственниц	NOUN,inan,masc,Fixd,Abbr plur,gent
дев-лиственниц	NOUN,inan,femn plur,gent
меховых	ADJF plur,gent
меховых	ADJF anim,plur,accs
меховых	ADJF plur,loct
приедут	VERB,perf,intr plur,3per,futr,indc
шагнул	VERB,perf,intr masc,sing,past,indc
сводит	VERB,perf,tran sing,3per,futr,indc
сводит	VERB,impf,tran sing,3per,pres,indc
косами	NOUN,inan,masc,Geox plur,ablt
косами	NOUN,inan,femn plur,ablt
вами	NPRO,2per plur,ablt
детском	ADJF masc,sing,loct
детском	ADJF neut,sing,loct
лопатами	NOUN,inan,femn plur,ablt
жёнами	NOUN,anim,femn plur,ablt
туча	NOUN,inan,femn sing,nomn
свесились	VERB,perf,intr plur,past,indc
решался	VERB,impf,intr masc,sing,past,indc
влила	VERB,perf,tran femn,sing,past,indc
величеству	NOUN,inan,neut sing,datv
возвещал	VERB,impf,tran masc,sing,past,indc
гору	NOUN,inan,femn sing,accs
гору	NOUN,anim,masc,Name sing,datv
во	PREP Vpre
спускаться	INFN,impf,intr
умов	NOUN,inan,masc plur,gent
ширилось	VERB,impf,intr neut,sing,past,indc
пропади	VERB,perf,intr sing,impr,excl
проходе	NOUN,inan,masc sing,loct
похлопывая	GRND,impf,tran pres
подзорной	ADJF,Qual femn,sing,gent
подзорной	ADJF,Qual femn,sing,datv
подзорной	ADJF,Qual femn,sing,ablt
подзорной	ADJF,Qual femn,sing,loct
поворачивая	GRND,impf,tran pres
крупные	ADJF,Qual plur,nomn
крупные	ADJF,Qual inan,plur,accs
мышиного	ADJF,Qual masc,sing,gent
мышиного	ADJF,Qual anim,masc,sing,accs
мышиного	ADJF,Qual neut,sing,gent
длинных	ADJF,Qual plur,gent
длинных	ADJF,Qual anim,plur,accs
длинных	ADJF,Qual plur,loct
должен	ADJS masc,sing
предпринимать	INFN,impf,tran
застрять	INFN,perf,intr
повинуюсь	VERB,perf,intr sing,1per,futr,indc
повинуюсь	VERB,impf,intr sing,1per,pres,indc
хо-хо	INTJ
свалился	VERB,perf,intr masc,sing,past,indc
обманывались	VERB,impf,intr plur,past,indc
идиотом	NOUN,anim,masc sing,ablt
долгое	ADJF,Qual neut,sing,accs
долгое	ADJF,Qual neut,sing,nomn
обороне	NOUN,inan,femn sing,datv
обороне	NOUN,inan,femn sing,loct
бледным	ADJF,Qual plur,datv
бледным	ADJF,Qual masc,sing,ablt
бледным	ADJF,Qual neut,sing,ablt
осликом	NOUN,anim,masc sing,ablt
помогите	VERB,perf,intr plur,impr,excl
взбодрился	VERB,perf,intr masc,sing,past,indc
поблескивающие	PRTF,impf,intr,pres,actv plur,nomn
поблескивающие	PRTF,impf,intr,pres,actv inan,plur,accs
полз	VERB,impf,intr masc,sing,past,indc
вымерли	VERB,perf,intr plur,past,indc
называется	VERB,impf,intr sing,3per,pres,indc
обманешь	VERB,perf,tran sing,2per,futr,indc
флот	NOUN,inan,masc sing,nomn
флот	NOUN,inan,masc sing,accs
раскровавила	VERB,impf,tran femn,sing,past,indc
раскровавила	VERB,perf,tran femn,sing,past,indc
раскровавила	NOUN,anim,masc,Name sing,gent
раскровавила	NOUN,anim,masc,Name sing,accs
